Login_ID,Repo_Count,Follower_Count,Member_Since
erinata,85,93,2010-12-23
sco,32,*  513,2008-02-16
voodootikigod,125,*  660,2008-02-19
piclez,39,48,2008-02-24
brianleroux,360,*  1741,2008-02-26
coty,73,66,2008-02-27
clarkbw,82,*  391,2008-03-04
orlin,43,51,2008-03-06
jacques,386,90,2008-03-07
baron,24,41,2008-03-09
stinie,138,52,2008-03-13
thomd,105,25,2008-03-18
quinn,134,65,2008-03-25
jevon,2,40,2008-04-02
hlb,40,*  227,2008-04-03
eoin,4,86,2008-04-03
thekvn,23,39,2008-04-07
jhaynie,112,*  374,2008-04-09
wilsonminer,7,99,2008-04-09
asoltys,204,*  149,2008-04-16
collin,236,*  178,2008-04-18
fling,4,26,2008-05-05
peterpunk,4,47,2008-05-08
diclophis,106,*  120,2008-05-13
jaredhanson,408,*  3418,2008-05-15
rchk,9,33,2008-05-16
mlynch,122,*  1313,2008-05-22
grantmichaels,10,48,2008-06-21
frozzare,296,*  208,2008-06-22
johnantoni,535,*  118,2008-06-30
silentrob,112,*  316,2008-07-04
roy,35,15,2008-03-04
Wijnand,12,16,2008-06-10
arjan,239,*  168,2008-09-15
archan937,66,82,2009-02-08
bulters,75,13,2009-02-23
michaelkoper,38,23,2009-05-17
sajoku,99,17,2010-09-07
chrisobdam,4,6,2011-02-24
pomazanbohdan,11,6,2011-03-29
evinw,8,*  1398,2011-06-11
jameskyokushin,30,19,2011-08-04
ssleptsov,29,100,2011-12-03
innomarkglobal,0,14,2012-10-10
grdw,6,21,2012-10-29
ayeminag,28,27,2012-10-30
KevinHock,39,*  4695,2012-12-19
Frenchcooc,21,47,2013-01-13
cusspvz,159,*  7743,2013-02-15
VagrantStory,9,*  1987,2013-04-05
Xyphex,9,5,2013-06-27
pocieeronccbilgaa,24,*  1878,2013-07-31
Hamz-a,33,*  189,2013-08-28
rodrigooler,204,*  1224,2013-09-19
angusshire,18,*  12326,2013-11-07
dalinhuang99,-1,-1,0000-00-00
twopack,9,30,2014-01-29
MichalPaszkiewicz,66,*  5384,2014-02-13
dplewis,120,*  1748,2014-11-18
pengliheng,-1,-1,0000-00-00
Bitonics,2,75,2018-01-23
kaichen,52,*  381,2008-03-28
jenda,19,*  148,2008-04-03
heacluen,120,*  4686,2008-04-07
yong,17,52,2008-04-08
poshboytl,96,*  629,2008-04-09
diwefnli,13,41,2008-04-12
tomlion,46,*  162,2008-04-19
beenhero,25,*  190,2008-04-22
cashplk,2,29,2008-04-24
ingioyrs,7,29,2008-05-08
sishen,57,*  675,2008-05-22
RobinWu,50,32,2008-06-08
jlisbz,82,21,2008-06-11
pmq20,202,*  765,2008-06-11
crazycode,212,67,2008-06-22
saberma,37,*  675,2008-06-26
gneeakilnw,37,31,2008-09-04
caingougou,6,27,2008-09-27
ogaeli,18,15,2008-09-28
dgiialnob,119,*  619,2008-10-04
hozaka,9,10,2008-10-29
wyqlta,61,6,2008-11-07
solnos,849,0,2008-11-08
kenneth,121,83,2008-11-08
sorrycc,202,*  12816,2008-11-18
doitian,191,*  324,2008-11-21
ltrauaixt,102,*  1410,2008-11-21
ncihzu,27,*  161,2008-11-27
xaodis,209,*  385,2008-12-02
yorzi,72,*  116,2008-12-08
mehdimays,57,18,2011-05-15
lostepsvs,29,100,2011-12-03
raudelenrique,1,1,2012-10-02
lumberjackchef,8,15,2014-05-23
Kakise,60,*  1078,2016-04-24
MafujShikder,23,*  1517,2017-12-14
shmuel7e,12,17,2018-10-05
jm,132,*  509,2008-01-29
skyfallsin,20,70,2008-02-26
adambair,61,*  112,2008-02-26
mbleigh,147,*  885,2008-02-27
brendanlim,118,*  144,2008-02-29
cselmer,24,79,2008-03-04
brentmc79,20,55,2008-03-10
jonathannelson,2,50,2008-03-21
niffas,28,73,2008-03-25
rayvinly,11,*  313,2008-03-26
jondkinney,73,95,2008-04-03
thadd,22,63,2008-04-03
craooe,20,98,2008-04-04
huacnlee,120,*  4686,2008-04-07
janx,103,*  1042,2008-04-09
lgn21st,92,*  679,2008-04-13
flipsasser,18,86,2008-04-26
peteonrails,67,83,2008-05-07
gisikw,57,*  108,2008-05-13
sehsin,57,*  675,2008-05-22
ssoper,52,89,2008-06-05
crioui,76,*  112,2008-09-10
adpvitdso,46,77,2008-10-16
otzm,132,*  111,2008-11-01
npfktyuo,86,*  1291,2008-01-15
atmos,170,*  1270,2008-01-22
rosjcyb,28,*  184,2008-02-07
llloleeleloo,1406,*  317,2008-02-13
bumi,172,*  395,2008-02-16
ubrmp,31,56,2008-02-17
ebrtt,17,39,2008-02-20
0xeulk,27,93,2008-02-26
imrzro,82,*  176,2008-02-28
lgs,1076,*  146,2008-02-28
xavi,15,39,2008-02-28
hkpicsi,18,25,2008-03-04
amdscaat,103,*  734,2008-03-12
cshefricj,72,54,2008-03-14
lazzarello,152,*  169,2008-03-26
bkerley,233,*  202,2008-04-02
beppu,41,*  128,2008-04-03
zsaaaki,1,72,2008-04-03
ivanoats,359,*  290,2008-04-03
broat,36,*  447,2008-04-04
lostinpatterns,16,12,2008-04-05
aniwdr,143,*  706,2008-04-06
kij,10,15,2008-04-08
hnchuong,3,6,2008-04-13
membogg,4,17,2008-04-16
bcurren,33,39,2008-04-27
swoant,388,*  1723,2008-05-17
roiigrgik,75,*  8404,2008-05-18
lfsaltiarean,239,59,2010-06-13
lgirooerdro,204,*  1224,2013-09-19
ssheranuig,18,*  12326,2013-11-07
ijagjeet,41,*  2230,2018-12-19
superisaac,59,62,2008-06-04
blanu,86,*  134,2008-11-20
jserv,113,*  3403,2010-11-12
trmttpei,198,*  1355,2010-12-17
mbautin,144,*  1328,2011-01-08
lfJemK,65,95,2011-12-03
uhLugCMenn,13,*  136,2012-08-08
eckvKnoHi,39,*  4695,2012-12-19
at9hainkhs00,1466,*  145,2013-02-09
hehead,1,*  641,2013-05-12
vlordier,33,*  375,2013-09-12
SummerCHINA,1,1,2013-11-14
ddjjj,0,0,2013-12-11
nhudal99agin,-1,-1,0000-00-00
tchnorider,16,*  290,2015-09-04
sLirzpe,411,*  1154,2015-09-23
Linux-Player,2,*  1200,2016-10-10
minsle,2,*  680,2017-03-10
xiaolan98,20,5,2017-09-13
andresurepno,0,11,2017-12-07
s6dyl,-1,-1,0000-00-00
haobuxia,11,3,2018-09-23
itow-ssbhonwes,-1,-1,0000-00-00
glhewett,30,18,2008-04-18
psnnriteg,3,4,2008-06-14
hieehmheeattwrwtsertoh,47,58,2008-07-07
codeodor,108,37,2008-09-06
cmavromoustakos,23,32,2009-08-03
benwbrum,26,86,2010-02-09
mashiox,47,52,2010-06-18
gedsaav,121,82,2010-09-04
shpytalenko,54,2,2011-01-20
sdenvpraots,14,9,2011-05-27
haileypate,38,22,2011-10-04
bishopZ,47,58,2011-10-19
gniaeenckbra,31,*  141,2015-11-10
MaxValue,35,41,2012-02-17
oiahms,2,*  663,2012-03-11
exgalaxy,2,1,2012-03-13
KiocHvkne,39,*  4695,2012-12-19
aeaoykch,21,41,2013-05-27
asiarneiat,2,14,2013-10-21
linhnusioj,3,1,2015-03-04
basnoibhbey,28,9,2015-03-07
danielirimia,27,17,2015-04-01
m-ezekiel,32,18,2015-04-23
pennyone00,0,2,2015-10-29
laurenrenaud,22,11,2016-01-09
EricAtMSFT,4,9,2016-02-19
laconc,8,17,2016-07-12
vemtgalucesh,28,28,2016-07-26
thezedwards,497,*  569,2016-12-12
pablete,25,72,2008-02-19
tle,195,*  212,2008-02-27
anandkunal,7,100,2008-02-28
ask,86,*  1896,2008-02-28
ojihaa,142,*  588,2008-02-29
gmacrnam,60,*  1073,2008-03-06
tmm1,314,*  2354,2008-03-08
mokeefe,1,20,2008-03-25
ehtrtci,176,*  176,2008-04-02
dlgenig,26,56,2008-04-04
dehora,46,85,2008-04-06
ryanking,34,*  247,2008-04-07
mrflip,144,*  269,2008-04-09
earrgdce,89,*  231,2008-04-15
dlhw,47,*  295,2008-05-07
mlajonzo,67,83,2008-06-01
idunitthwlset,1,*  274,2008-06-01
fredrik,58,72,2008-06-06
jonbaer,293,*  166,2008-06-10
massie,39,*  120,2008-08-04
EricPKerr,56,36,2008-08-11
fmu,2,6,2008-08-25
aparo,151,*  149,2008-10-08
so,0,20,2008-10-21
ournueag,75,69,2008-10-22
ret,19,37,2008-11-09
latrokles,24,56,2008-11-18
elnkinlir,311,*  155,2008-11-28
matteobertozzi,23,65,2008-12-04
travisbrady,58,94,2008-12-04
wayrslco,25,41,2008-02-14
gared,129,52,2008-09-12
miamiruby,130,58,2008-10-16
maca,91,*  101,2008-10-19
miamiartexchange,2,6,2008-10-25
maggit,50,*  279,2008-11-07
willywg,41,45,2009-01-01
jjuarez,126,52,2009-01-20
liehdliorcc,161,*  120,2009-01-25
endymion,97,26,2009-02-06
aakxlox,22,28,2009-03-17
oracislt,27,82,2009-03-25
atnorirjhicsas,11,36,2009-06-04
uamiiaircsfs,12,32,2009-09-28
uokesita,64,*  178,2009-10-13
ulagerlniiaug,258,*  623,2009-12-02
shmangles,3,2,2010-01-23
grunch,72,79,2010-03-23
ou5hrg6eg,31,20,2010-05-21
betacar,27,36,2010-07-06
mattsgarrison,78,17,2010-08-12
iamhabitat,24,8,2010-09-16
albertogg,47,90,2010-10-24
Chelo,5,10,2011-01-29
ajsb85,438,*  925,2011-03-11
esneider,47,*  145,2011-03-13
eanaim,139,*  291,2011-04-24
josemontesdeoca,11,48,2011-05-01
javadabadoo,21,30,2011-05-05
bemdahait,154,*  709,2011-05-09
alfredwesterveld,52,64,2008-04-13
rmorgelnanal,107,54,2008-09-02
aral,498,*  620,2008-12-20
mattorb,39,44,2009-03-09
elango,73,43,2009-03-20
andresdouglas,33,21,2009-04-10
leereilly,402,*  1733,2009-08-31
arfrank,51,26,2009-09-16
jkatzer,89,59,2009-11-13
eySropkh,1,4,2009-11-17
ubpaCeSwn,8,*  107,2009-12-07
dvekda,5,27,2010-03-03
Poincare,49,98,2010-03-06
watcherdm,104,56,2010-05-05
broccolini,43,*  1956,2010-07-17
avugamnih,28,*  147,2010-09-17
mahiernsott,41,49,2010-10-12
aeujfuterdf,9,8,2010-11-19
freewil,127,*  101,2011-04-08
naybjy,25,15,2011-05-09
STUNT101,0,71,2011-05-15
iahbhsbpjoe,5,4,2011-07-15
Hungsta,4,32,2011-07-28
eetmnwaiaeg,75,*  130,2012-01-18
oggata,162,46,2012-01-20
eutgi4fa,265,*  456,2012-03-02
JSansalone,8,*  281,2012-06-08
cabsaj,53,*  853,2012-09-22
zarfeleuhrncle,205,*  157,2013-01-29
shanesveller,102,96,2008-02-25
inav,6,*  144,2008-04-03
ryantm,238,*  156,2008-04-03
teehemkay,12,20,2008-04-04
dejanr,43,56,2008-07-26
bbigras,170,36,2008-09-10
RobLoach,791,*  372,2008-09-18
oenadg,31,14,2008-10-07
h4ck3rm1k3,1247,*  563,2008-11-17
joachifm,29,47,2008-12-21
jb55,536,*  399,2009-01-10
newhoggy,74,84,2009-03-13
stigtsp,152,77,2009-04-19
aceJumni,22,4,2009-04-26
plumenator,83,78,2009-07-11
rohithadassanayake,5,*  526,2009-07-30
375,134,78,2009-09-06
samueldr,110,*  152,2009-09-29
cnirainacya,55,77,2009-10-05
sgoaemrryj,45,41,2009-11-19
abossirb,27,12,2010-02-04
aviraldg,75,*  117,2010-04-07
terlar,100,*  111,2010-05-18
EvanMisshula,193,98,2010-06-09
fabianhjr,12,75,2010-06-13
pbach,146,92,2010-07-16
nxkc,37,18,2010-08-14
wolfflow,67,56,2010-08-20
timothyklim,229,*  174,2010-09-04
tqBuooeys,163,59,2010-09-27
aaduk,166,*  480,2008-02-21
liebrehln,15,74,2008-02-27
hsjpubio,40,56,2008-06-10
esnot,9,*  141,2009-01-23
rmatei,16,49,2009-01-24
toeki,2,82,2009-06-22
singerdmx,15,*  446,2009-09-03
taoeffect,68,*  249,2009-10-12
liveink,76,36,2009-10-27
RaymondCrandall,31,79,2010-05-05
dennispi,7,9,2010-09-03
j9h1,197,32,2010-09-12
toriaBGnra,0,5,2011-01-14
yuanwencong,4,10,2011-03-18
rajanand,31,46,2011-08-27
zrueelimnsgo,4,9,2011-09-06
obfuscat3d,1,11,2011-10-10
aommer,0,0,2011-11-26
Ryanfahiramaulana,0,3,2011-11-29
re0tZRoo,3,*  158,2012-01-02
waibo,190,46,2012-01-03
CMeirsyhno,0,26,2012-01-15
vrnithinkumar,116,43,2012-02-07
torrpeeppko,74,39,2012-02-26
rajeshvv,168,38,2012-03-07
JurandyBitConnect,3,10,2012-06-20
emrewrdeys,1,31,2012-08-18
hanesg,2,31,2012-08-30
csjaba,53,*  853,2012-09-22
ryhareabi,129,62,2008-04-11
brianmario,33,*  855,2008-05-26
DoktahWorm,10,11,2009-10-11
fmlhtcech,35,16,2008-11-02
rcbieufoaa,109,99,2008-12-09
jpf,157,*  288,2008-12-19
dlwljileheo,49,44,2009-01-05
Siim,40,50,2009-01-05
minglecm,35,78,2009-01-10
gcollazo,89,*  420,2009-03-07
allangrant,15,35,2009-03-12
kanzure,160,*  474,2009-07-03
seanahrens,18,15,2009-07-29
vdaaLmJe,40,27,2010-01-23
danstorms,7,8,2010-08-09
naharris212,0,5,2010-11-24
davidkuchar,26,28,2010-11-30
trietptm,198,*  1355,2010-12-17
brajadorable,11,47,2011-05-10
SourceBoy,6,3,2011-05-16
jsonmaur,32,*  183,2011-07-12
macressler,947,*  300,2011-11-16
PknwzyM,20,17,2012-01-01
toxtli,1150,*  2113,2012-01-02
Bunlong,215,*  1866,2012-01-06
b3bakyt,16,3,2012-02-23
dumpytown,2,11,2012-05-04
robbyrob42,10,8,2012-10-10
nbmweajroinmbn,130,43,2012-10-11
mountain,67,*  262,2008-02-25
darwin,143,*  706,2008-04-06
nkic022j,1,20,2014-03-32
cooenCnZo,73,36,2008-05-16
wouterdebres,3,6,2008-05-19
henrygarner,109,82,2008-09-14
shanx,80,32,2008-10-06
appenryodp,444,*  865,2008-10-23
raiauetuhvxam,127,96,2008-12-05
stonegao,140,*  292,2008-12-22
bobpoekert,97,85,2009-01-10
ticean,62,75,2009-01-15
semrmakrhta,49,13,2009-03-23
kirillsalykin,23,13,2009-10-07
bcambel,74,*  113,2009-10-25
idvlasfde,3,13,2009-12-01
eddlxaaenrean,6,*  204,2010-02-09
markkorput,143,21,2010-02-18
eerrepferar,19,47,2010-04-27
vizanto,55,60,2010-07-08
gijzelaerr,167,*  154,2010-07-08
nathan-gs,54,24,2010-07-13
domenicosolazzo,426,*  206,2010-09-03
michielbdejong,402,*  282,2010-09-20
isakib,244,7,2010-11-11
kdirboerneenkc,74,81,2010-11-12
mschmulen,106,83,2010-11-16
andresmasegosa,12,70,2010-11-25
jkakar,66,76,2011-01-13
rbeene,93,40,2009-04-02
pechorin,14,77,2010-03-19
egdgrke,50,96,2010-04-25
streorfo,108,*  192,2010-09-11
supocise,40,*  151,2010-10-23
MattMcFarland,139,*  243,2011-02-17
mrklaw,2,1,2011-11-14
mohitmun,86,75,2012-03-25
kialam,31,5,2012-09-06
cajabs,53,*  853,2012-09-22
nvKeoickH,39,*  4695,2012-12-19
pncociglarcbeeaio,24,*  1878,2013-07-31
yikaraman,34,5,2013-09-18
sghinarsue,18,*  12326,2013-11-07
garrisonreid,10,4,2014-07-17
nsbditaotaevd,28,*  413,2014-08-25
dalinnen,1,5,2014-11-04
ysopkyyersteln,61,*  669,2014-12-18
lbjeksy,28,6,2015-01-29
y-ke,7,11,2015-10-24
hsecrchtelik,0,1,2015-12-16
ngizhtknha,12,2,2016-07-16
dehine,10,1,2017-01-16
seabre,105,71,2008-12-22
noumyibk,51,22,2009-03-26
adrlc,130,*  120,2009-07-14
catull,33,34,2009-11-07
sidorares,163,*  788,2009-12-28
deltam,38,33,2010-01-31
rkdaa,55,*  138,2010-02-08
oungnhn,2,1,2011-02-22
esteokot,23,22,2011-03-04
janfilips,14,47,2011-06-23
teaaanpahomkst,46,*  108,2011-07-05
rcullito,67,43,2011-07-12
dyaen,70,49,2011-11-08
fsquillace,64,80,2011-11-26
lunnBog,215,*  1866,2012-01-06
kumavis,436,*  1167,2012-02-26
zhchang,20,18,2012-03-12
abnn,27,37,2012-04-30
rain1024,158,*  281,2012-05-26
viralpandya,14,15,2012-07-26
bbss,45,35,2012-11-09
priornix,9,21,2013-02-25
naalghdeevn,71,33,2013-03-05
akashaku,7,0,2013-04-09
kalamaznik,16,*  210,2013-04-15
erdos,66,*  211,2013-09-27
zg0hlneu,37,*  699,2013-10-07
STRd6,234,*  782,2008-07-30
ronenhamias,47,*  1589,2012-05-04
zscpsuv,159,*  7743,2013-02-15
kinimodmeyer,3,14,2013-02-26
lmn5x9a4a,69,9,2013-03-13
1c10ycrhe,122,5,2014-02-14
Sleepyhead-google,133,50,2014-08-25
sonmio,3,28,2017-01-09
orraapggibal,32,6,2017-09-04
opengineer,22,*  3043,2017-10-16
rnimshia,13,20,2008-05-26
nrufote,11,6,2009-01-06
ahmetabdi,154,*  709,2011-05-09
justinshenk,78,*  272,2014-12-22
steffanjensen,107,*  411,2015-07-18
sn0hieqng028,55,99,2017-02-06
verejava,5,*  1000,2018-05-25
jajgeiet,41,*  2230,2018-12-19
ky-bot,1,*  300,2020-05-08
adampatterson,49,56,2008-10-28
vafisn,14,24,2009-01-29
ciKkvnHeo,39,*  4695,2012-12-19
DyeitTWorh,10,7,2013-02-10
JaiiRashad34,6,1,2018-01-12
zadeamlhyaza,298,*  235,2019-06-12
Asmae-salhi,4,1,2020-04-02
msakazo,2,1,2020-05-25
MintThitiratChamnan,14,26,2021-08-01
eugeneware,253,*  301,2008-12-03
iatppmda,78,*  102,2008-12-28
throughnothing,152,*  122,2009-03-09
esneko,39,*  265,2009-03-17
etgjeshnh,299,*  686,2009-04-21
Neustradamus,42,*  445,2009-07-14
fs8oacrl,238,*  302,2009-07-20
naardsahosaehkiaty,5,*  526,2009-07-30
alexindigo,183,*  125,2009-09-15
altmerdian,1691,*  470,2009-09-22
nrojchpdasir,167,*  1187,2009-11-07
miguelmota,543,*  1530,2009-12-16
