gh_id,Num_Starred,Pinned_Repo
0-vortex,4.6k,dotfiles
215eight,24,VelovedSwift
375,0,Modernizr
abnn,0,No Pinned Repositories
adambair,224,fu-fu
adampatterson,1.1k,Axe
AdiChat,33,master-c-programming
Adrlc,0,No Pinned Repositories
ahmetabdi,4.1k,themoviedb
ajsb85,5k+,vane.ai
akashaku,1,XAA
albertogg,747,flask-bootstrap-skel
ales9000,10,mappaCultura
alexeykudinkin,69,axolotl.js
alexindigo,404,ndash
AlexxNica,5k+,cargo
alfredwesterveld,2.9k,freakinping
allangrant,72,nginx-rails-template
almartin82,541,njschooldata
amijkko,10,rusty-blockparser
anandkunal,317,ToroPHP
andresdouglas,336,django-tastypie-nonrel
andresmasegosa,70,toolbox
andresurepno,0,No Pinned Repositories
andy-williams,521,Magick.NET.WebImageExtensions
angusshire,5k+,greenhat
Aommer,5k+,No Pinned Repositories
aparo,354,pyes
aprock,15,react-native-tcp
aral,303,nodekit
archan937,42,templayed.js
arfrank,170,Fake-Twilio-Api
arjan,132,decorator
artemii235,39,etomic-swap
ask,833,faust
Asmae-salhi,0,one
asoltys,406,coinos-server
atmos,873,round and round
audy,5k,sars-cov-2
aviraldg,635,element-web
ayeminag,31,go-myanmartools
b3bakyt,7,immunitet
baron,643,devdocs
batermj,5k+,data_sciences_campaign
batsuuri,0,MDMA
bbigras,3.4k,nix-config
bbss,137,cljsc2
bcambel,1.3k,oss.io
bcurren,135,freshbooks.rb
beenhero,284,omniauth-weibo-oauth2
benwbrum,67,fromthepage
beppu,977,jquery-ev
betacar,170,moleculer
bishopZ,303,next11-plus
Bitonics,2,Bitonics
bkerley,168,zshkit
blanu,510,Dust
bluet,1.3k,proxybroker2
bobpoekert,788,quadtree
botsbrain,4,yolox
brajadorable,62,rails
brendanlim,365,mobile-fu
brentmc79,38,canonical-url
brianleroux,411,architect
brianmario,792,mysql2
broat,13,hello-world
broccolini,390,swiss
buffer8848,715,emscripten
bulters,32,rack-gridfs
bumi,1.6k,lnme
Bunlong,3.2k,reactpatterns
caingougou,1.8k,phpfirefly
canvaspixels,58,courgette
cashplk,390,double-entry-generator
catull,465,calendariale
cburgdorf,299,grunt-html-snapshot
Chelo,7,Parser-XML-to-ER-Model
chrisobdam,8,ots
clarkbw,665,jest-localstorage-mock
cmavromoustakos,187,indie-ninja-aws
cnd,187,No Pinned Repositories
codeodor,55,minitest-stub_any_instance
codingscode,854,curso_node
collin,395,jabs
coty,1.1k,kafka
crazycode,260,cap-recipes
cselmer,2,delegate_cached
csjaba,21,dot-files
curv3ball,3,Vocalcord
cusspvz,1.6k,node.docker
dadaphl,968,oneDollar-supercollider
dalinnen,63,bitwig-extensions
danielirimia,143,machine-learning-for-software-engineers
danstorms,8,D2NEWYORK
darwin,2.8k,cljs-devtools
dary,0,escodegen-jsx
davidkuchar,38,django-media-bundler
davidrobles,226,myelin
ddjjj,0,No Pinned Repositories
dehine,20,kamailio_sip_proxy
dehora,89,nakadi-java
dejanr,1.6k,dotfiles
deltam,232,neuro
dennispi,4,SDWebImage
dgonzalez,118,levenshtein-map
diclophis,1.3k,wkndr
Dlhw,0,OT-system
doitian,641,unity-git-hooks
DoktahWorm,32,pomodo_on_rails
domenicosolazzo,3.5k,awesome-okr
dplewis,782,parse-server
dryajov,261,nim-libp2p
elango,1.4k,PhotoViewer
endymion,82,link-checker
eoin,289,gstraopsink
erdos,260,uclj
EricAtMSFT,18,Appsample-Photosharing
EricPKerr,372,react-native-emoji
erinata,19,FingerText
erravimishracse,1.2k,freeCodeCamp
esin,304,intheshell
esneider,335,YUNOcommit.vim
esneko,5k+,kuro
esnot,1,zabbix
eugeneware,3.9k,ffmpeg-static
EvanMisshula,15,rr
